"Binomial","GeogRangeIUCN","HetHab_VarEVI_1Km","HetHab_VarEVI_5Km","HetHab_VarEVI_50Km","HetTopo_Rugged_1Km","HetTopo_Rugged_5Km","HetTopo_Rugged_50Km","HumPopDen_1Km","HumPopDen_5Km","HumPopDen_50Km","MidLat","PctPAOverlap","PrimaryBiome"
"Aonyx_capensis",11817071.1321756,472.586242675781,475.685119628906,1059.3544921875,7.54614114761353,7.54307985305786,7.50304746627808,70.7523422241211,71.7667236328125,72.1235809326172,-3.38619264502051,0.0754082990135595,7
"Aonyx_congicus",2924429.88642859,306.757080078125,309.287170410156,665.092407226562,10.1353645324707,10.1335649490356,10.114483833313,44.4781951904297,44.9904365539551,44.8744239807129,-1.26244620676768,0.0514535438889958,1
"Arctocebus_aureus",667483.550590669,306.154022216797,309.583221435547,586.854553222656,10.3689069747925,10.3643178939819,10.2860927581787,18.5572853088379,18.5602245330811,18.6846733093262,1.08842806089783,0.0824622454842764,1
"Arctocebus_calabarensis",148437.984455826,422.583862304688,427.869018554688,864.376831054688,13.7615032196045,13.7519807815552,13.4857902526855,385.236206054688,385.729400634766,383.041870117188,5.63647226745722,0.0778029233140051,1
"Arvicanthis_abyssinicus",296092.651142263,646.74755859375,648.016784667969,1394.20776367188,30.2210464477539,30.210958480835,29.7644805908203,178.886016845703,179.705093383789,178.25373840332,11.2513529020044,0.00643626777581067,10
"Arvicanthis_ansorgei",651275.416887978,537.683532714844,542.388610839844,1044.98046875,5.8342490196228,5.83240413665771,5.80940294265747,73.7589340209961,74.0254669189453,73.9953079223633,12.0738550364615,0.0416045223569476,7
"Arvicanthis_blicki",17893.747237362,472.340576171875,473.379089355469,1439.71569824219,23.3414249420166,23.3513698577881,22.8926963806152,168.130187988281,168.88948059082,168.548095703125,6.81915082541466,0.217960367650156,10
"Arvicanthis_nairobae",151138.901292631,540.03515625,541.680297851562,1512.26782226562,10.559609413147,10.5669574737549,10.7273769378662,136.789093017578,137.083435058594,136.859237670898,-2.18916066204297,0.16194617111478,7
"Arvicanthis_neumanni",1218452.18100576,537.186767578125,538.886535644531,1400.36877441406,8.61298942565918,8.61259269714355,8.63128566741943,42.1526222229004,42.2265167236328,42.5901107788086,6.71533558438779,0.0707465896576656,7
"Arvicanthis_niloticus",6185272.89564571,552.603759765625,555.83642578125,1311.89013671875,6.87594032287598,6.87626266479492,6.87383413314819,85.2620697021484,86.6648559570312,83.1231307983398,10.5654415500514,0.0791044492119607,7
"Arvicanthis_rufinus",1154420.16953922,372.410064697266,376.678771972656,704.650512695312,6.86942720413208,6.86402988433838,6.80575609207153,131.916641235352,134.091369628906,135.668304443359,8.10674422276725,0.0582863577173135,7
"Asellia_patrizii",227342.451361947,795.403381347656,801.567260742188,2259.13818359375,23.2572917938232,23.2490615844727,23.2228488922119,112.76732635498,113.284721374512,111.850456237793,11.9347811891671,0.0579710296367525,10
"Atelerix_albiventris",7028364.29389668,478.221405029297,480.812622070312,1073.85314941406,5.3229022026062,5.32158231735229,5.30021905899048,73.1863708496094,74.3379287719727,74.9480361938477,7.06497207117446,0.0724218043366777,7
"Atelerix_frontalis",1047880.24830228,516.313110351562,517.390747070312,1189.86352539062,5.81366920471191,5.81376600265503,5.82868576049805,34.7953147888184,34.8957862854004,34.899730682373,-25.1380976447837,0.0538713844073932,7
"Atelerix_sclateri",309001.28398156,455.922149658203,457.735931396484,1262.71057128906,6.99513101577759,6.95977258682251,6.49159479141235,18.194673538208,18.2320289611816,19.2579383850098,7.89568830470542,0,7
"Atherurus_africanus",3544244.60580821,332.477691650391,337.328552246094,705.944396972656,9.71340847015381,9.70972728729248,9.65259838104248,98.8922653198242,100.81209564209,100.747909545898,1.53104008676405,0.0575035698385023,1
"Atilax_paludinosus",14049574.2885042,418.984832763672,422.110717773438,923.947082519531,8.45077705383301,8.44795322418213,8.40445899963379,71.4106369018555,72.4272384643555,72.5996475219727,-3.07787893683024,0.0705512662411504,7
"Atlantoxerus_getulus",301978.839941335,670.768005371094,671.718872070312,2190.888671875,16.7166843414307,16.7059993743896,16.3227596282959,35.9253196716309,36.0667114257812,36.9941368103027,31.3514413788454,0.0136845826141247,12
