"Binomial","MeanTemp_1Km","MeanPrecip_1Km","TempSeas_1Km","PrecipSeas_1Km","MeanTemp_5Km","MeanPrecip_5Km","TempSeas_5Km","PrecipSeas_5Km","MeanTemp_50Km","TempSeas_50Km","MeanPrecip_50Km","PrecipSeas_50Km"
"Laephotis_angolensis",20.4741306304932,1290.63745117188,169.977951049805,92.339599609375,20.4743118286133,1290.63049316406,169.949340820312,92.3401260375977,20.5020961761475,169.977645874023,1288.00305175781,92.3965072631836
"Laephotis_botswanae",20.686149597168,736.088134765625,319.926452636719,101.06330871582,20.6861343383789,736.054016113281,319.916198730469,101.062698364258,20.685583114624,319.939270019531,735.205383300781,101.127960205078
"Laephotis_namibensis",17.2567405700684,162.031387329102,344.827331542969,93.7956848144531,17.2565059661865,161.964462280273,344.8212890625,93.8413314819336,17.3812885284424,346.026153564453,160.031204223633,93.9643249511719
"Laephotis_wintoni",21.5080375671387,935.595825195312,152.880859375,89.4786911010742,21.5081214904785,935.581726074219,152.842697143555,89.4591751098633,21.5151252746582,152.799301147461,935.486145019531,89.4599609375
"Lamottemys_okuensis",17.804443359375,2007.02185058594,138.139663696289,72.5191497802734,17.980396270752,2005.59350585938,137.849685668945,72.7119674682617,21.5576553344727,134.793151855469,1945.3857421875,75.567268371582
"Lavia_frons",25.0138568878174,1161.37878417969,132.694717407227,82.2388000488281,25.0141105651855,1161.31433105469,132.660415649414,82.2411270141602,25.0139865875244,132.702194213867,1161.19677734375,82.2631301879883
"Leimacomys_buettneri",25.0005016326904,1366.818359375,129.207977294922,73.5201721191406,25.0171451568604,1365.10925292969,129.127456665039,73.5629348754883,25.7282218933105,127.184036254883,1348.18188476562,72.2394638061523
"Lemniscomys_barbarus",16.961971282959,508.410797119141,574.052612304688,65.5818939208984,16.9668521881104,508.373931884766,573.374267578125,65.588752746582,16.9599781036377,574.0224609375,505.163665771484,65.3249053955078
"Lemniscomys_bellieri",26.7167701721191,1096.74328613281,145.57795715332,82.0836486816406,26.7167224884033,1096.73010253906,145.558288574219,82.0829391479492,26.718786239624,145.795837402344,1096.99279785156,82.1215057373047
"Lemniscomys_griselda",20.618185043335,1250.24035644531,157.747406005859,88.0910873413086,20.618257522583,1250.23022460938,157.715026855469,88.0862350463867,20.6290225982666,157.946884155273,1248.75219726562,88.154411315918
"Lemniscomys_hoogstraali",28.3197994232178,642.141418457031,158.672286987305,106.555938720703,28.3190231323242,642.203674316406,158.651947021484,106.559715270996,28.2933940887451,162.605682373047,632.8212890625,107.174865722656
"Lemniscomys_linulus",26.6861324310303,1192.4736328125,194.314559936523,106.726051330566,26.6860866546631,1192.45080566406,194.292846679688,106.726959228516,26.6790428161621,194.358596801758,1192.76220703125,106.719398498535
"Lemniscomys_macculus",23.2744312286377,1234.58837890625,89.7371139526367,51.6820449829102,23.2744407653809,1234.59680175781,89.6819763183594,51.6670265197754,23.2789249420166,89.6452484130859,1234.83020019531,51.726318359375
"Lemniscomys_mittendorfi",17.6630783081055,2009.24072265625,138.345275878906,72.3552474975586,17.8627853393555,2007.58898925781,138.082885742188,72.571403503418,21.5417957305908,134.961730957031,1946.861328125,75.4851226806641
"Lemniscomys_rosalia",21.8509540557861,693.794982910156,303.789031982422,99.7470016479492,21.8513412475586,693.870544433594,303.759643554688,99.7291107177734,21.8460807800293,303.7333984375,694.150207519531,99.7189636230469
"Lemniscomys_roseveari",20.3365097045898,1128.45849609375,235.632339477539,101.721878051758,20.3285331726074,1128.66125488281,235.685440063477,101.703025817871,20.2501487731934,238.663604736328,1120.69067382812,102.304893493652
"Lemniscomys_striatus",24.0683536529541,1394.4814453125,104.509765625,71.5736236572266,24.0691452026367,1394.56616210938,104.473457336426,71.5684356689453,24.0712890625,104.565811157227,1394.19311523438,71.5944137573242
"Lemniscomys_zebra",25.9095764160156,897.133178710938,190.522491455078,104.04825592041,25.9096183776855,897.103515625,190.495483398438,104.04906463623,25.9121112823486,190.491256713867,897.156005859375,104.049766540527
"Leptailurus_serval",23.7064476013184,994.920654296875,190.674743652344,93.6190872192383,23.707103729248,995.002685546875,190.632522583008,93.616081237793,23.7065830230713,190.634155273438,995.071228027344,93.6140975952148
"Lepus_fagani",19.0610656738281,1321.95178222656,116.342071533203,85.0762329101562,19.0610675811768,1321.94079589844,116.182914733887,85.0892639160156,19.0692405700684,116.527976989746,1322.09045410156,85.0703964233398
"Lepus_habessinicus",24.949390411377,387.267059326172,167.276809692383,93.2216644287109,24.9504470825195,387.139495849609,167.260055541992,93.204231262207,24.9515247344971,167.187164306641,387.371032714844,93.2586059570312
"Lepus_saxatilis",17.0356407165527,254.313858032227,430.700469970703,40.6499557495117,17.0356044769287,254.367172241211,430.555633544922,40.6462364196777,17.0421619415283,430.506225585938,254.342346191406,40.8740653991699
"Lepus_starcki",15.7954034805298,1027.01000976562,97.7054672241211,76.2338790893555,15.8004865646362,1026.81408691406,97.5239562988281,76.2228012084961,16.1604442596436,98.7641830444336,1011.59216308594,76.0637359619141
"Lepus_victoriae",24.1392288208008,857.656921386719,236.739562988281,103.908157348633,24.1395969390869,857.697998046875,236.704254150391,103.905830383301,24.1396579742432,236.714294433594,857.788452148438,103.899505615234
"Liberiictis_kuhni",25.358283996582,2212.25146484375,84.2117309570312,56.3025093078613,25.3584518432617,2212.205078125,84.1797027587891,56.3007888793945,25.3717460632324,84.3470153808594,2209.85498046875,56.4660453796387
"Lissonycteris_angolensis",23.5983180999756,1304.40466308594,119.774978637695,74.8672409057617,23.5990428924561,1304.52258300781,119.740753173828,74.8690032958984,23.6018581390381,119.787582397461,1304.1005859375,74.89453125
"Litocranius_walleri",25.5525817871094,383.719818115234,136.695953369141,100.905715942383,25.5529479980469,383.674774169922,136.667022705078,100.898712158203,25.5540752410889,136.783264160156,384.900817871094,100.843437194824
"Lophiomys_imhausi",22.2752933502197,606.560974121094,187.623413085938,84.1058197021484,22.276460647583,606.449829101562,187.55729675293,84.0834045410156,22.3013439178467,187.645629882812,604.670288085938,84.2817459106445
"Lophocebus_albigena",23.7943172454834,1692.74694824219,65.0106430053711,48.7522621154785,23.7951545715332,1692.84448242188,64.9885864257812,48.7562217712402,23.8020439147949,65.0221633911133,1692.50158691406,48.8017616271973
"Lophocebus_aterrimus",24.7304439544678,1775.6240234375,52.8468589782715,38.9683723449707,24.7305374145508,1775.61840820312,52.8054695129395,38.9668121337891,24.7309608459473,52.8448104858398,1775.005859375,39.0056648254395
"Lophuromys_brevicaudus",12.2969388961792,1128.80053710938,77.0195999145508,57.373779296875,12.3176870346069,1127.98022460938,76.7381591796875,57.3498649597168,13.4689912796021,78.5287551879883,1075.58898925781,57.8616981506348
"Lophuromys_chrysopus",19.7529716491699,1259.24243164062,83.4669876098633,57.4980430603027,19.7542629241943,1259.0234375,83.2680435180664,57.4646797180176,19.8398571014404,84.1491088867188,1242.56127929688,57.7723274230957
"Lophuromys_cinereus",14.3034296035767,1917.19226074219,31.5404758453369,45.310619354248,14.4390592575073,1912.36938476562,31.1296939849854,45.2290992736816,17.3710041046143,30.912446975708,1731.69873046875,44.7973365783691
"Lophuromys_dieterleni",17.6408500671387,2007.51452636719,138.352874755859,72.3456497192383,17.8519496917725,2005.7626953125,138.123504638672,72.572883605957,21.5272274017334,135.108551025391,1945.08276367188,75.4904098510742
"Lophuromys_eisentrauti",18.5474796295166,2096.38256835938,146.059844970703,70.3773345947266,19.2018718719482,2095.39086914062,145.94255065918,71.408561706543,22.1329097747803,127.523635864258,2066.65795898438,74.986701965332
"Lophuromys_flavopunctatus",23.3644218444824,1577.03271484375,63.771125793457,49.7962684631348,23.364803314209,1576.99938964844,63.7167015075684,49.7875022888184,23.4026050567627,63.7989807128906,1575.04992675781,49.8510093688965
"Lophuromys_huttereri",25.0150680541992,1870.07299804688,53.6708641052246,29.5971641540527,25.0152015686035,1870.07189941406,53.6337432861328,29.5937995910645,25.0209045410156,53.6257438659668,1868.33508300781,29.5464458465576
"Lophuromys_luteogaster",23.1100902557373,1642.40270996094,36.7998847961426,27.6882572174072,23.109525680542,1642.43957519531,36.7423934936523,27.6843795776367,23.0281505584717,36.834545135498,1648.6494140625,27.8289852142334
"Lophuromys_medicaudatus",15.5648040771484,1635.83679199219,27.8099689483643,42.9078369140625,15.6058416366577,1632.51489257812,27.6148662567139,42.8336067199707,16.9978504180908,29.929386138916,1508.58959960938,42.0806922912598
"Lophuromys_melanonyx",11.6408367156982,1122.02697753906,73.5348892211914,57.6633415222168,11.6730585098267,1121.142578125,73.2007522583008,57.6228218078613,13.0744981765747,75.4911880493164,1067.10632324219,58.0182189941406
"Lophuromys_nudicaudus",24.3391094207764,1799.78186035156,91.874870300293,60.3234024047852,24.3403739929199,1800.13012695312,91.8783340454102,60.3331718444824,24.342981338501,91.8648300170898,1799.40063476562,60.3612899780273
"Lophuromys_rahmi",16.3100070953369,1608.7509765625,30.1828212738037,44.9469833374023,16.3356189727783,1606.54736328125,29.9449043273926,44.895809173584,17.4006042480469,31.1965599060059,1496.73083496094,44.5432205200195
"Lophuromys_roseveari",19.9498882293701,2784.24365234375,107.709594726562,57.1882400512695,20.0049571990967,2788.8046875,106.80867767334,57.2595405578613,24.3092269897461,86.1230239868164,2827.7822265625,66.9701690673828
"Lophuromys_sikapusi",24.3368682861328,1637.38269042969,85.9747772216797,58.3638610839844,24.3388347625732,1638.14782714844,85.9607238769531,58.371410369873,24.3401393890381,86.0379028320312,1637.79675292969,58.4099769592285
"Lophuromys_woosnami",18.5005302429199,1349.65283203125,36.9314231872559,47.3890571594238,18.5051021575928,1349.40002441406,36.7517585754395,47.3412094116211,18.7022762298584,36.7591400146484,1338.92126464844,47.4987640380859
"Loxodonta_africana",24.0444507598877,1089.48986816406,181.129516601562,89.2954254150391,24.0448207855225,1089.57934570312,181.099395751953,89.2905197143555,24.0347900390625,180.991455078125,1089.85510253906,89.3042984008789
"Lycaon_pictus",23.5314865112305,659.853149414062,286.202484130859,101.897102355957,23.5317802429199,659.841003417969,286.178619384766,101.894996643066,23.5196552276611,286.063659667969,660.410034179688,101.870056152344
"Macaca_sylvanus",13.1053524017334,512.396850585938,673.108093261719,53.0347557067871,13.117600440979,512.341125488281,672.675659179688,52.9963417053223,13.5135078430176,668.794311523438,504.397033691406,53.5803337097168
"Macroscelides_flavicaudatus",20.3751640319824,86.4887008666992,233.696578979492,115.978096008301,20.3733234405518,86.4798431396484,233.691177368164,116.012176513672,20.245979309082,235.506530761719,88.9807205200195,115.412406921387
"Macroscelides_micus",20.8476696014404,98.0416107177734,213.563079833984,122.223564147949,20.8517971038818,97.6229858398438,213.567367553711,122.181190490723,21.0704231262207,218.822235107422,96.0843505859375,122.119155883789
"Macroscelides_proboscideus",17.822868347168,217.060241699219,510.473724365234,61.9839019775391,17.8227577209473,217.020111083984,510.460754394531,61.9877319335938,17.8263034820557,509.948211669922,217.64518737793,61.9659423828125
"Madoqua_guentheri",25.7475605010986,468.396362304688,106.246696472168,96.0724563598633,25.7476081848145,468.401336669922,106.212127685547,96.061897277832,25.7246417999268,106.279907226562,469.884368896484,96.0223388671875
"Madoqua_kirkii",22.3841304779053,594.505859375,174.534286499023,97.2745895385742,22.3844738006592,594.4677734375,174.50617980957,97.2586975097656,22.3837280273438,174.490097045898,595.015686035156,97.221321105957
"Madoqua_piacentinii",27.2759380340576,299.483978271484,91.0726089477539,115.43904876709,27.2766189575195,299.172546386719,91.0992431640625,115.379280090332,27.2990226745605,91.1805877685547,297.783569335938,115.589988708496
"Madoqua_saltiana",26.1795196533203,299.789581298828,176.922973632812,99.0865097045898,26.1800689697266,299.673767089844,176.908065795898,99.0816497802734,26.1502323150635,176.613327026367,300.964294433594,99.1883926391602
"Malacomys_cansdalei",25.913444519043,1689.55139160156,98.8366851806641,58.3059921264648,25.9138889312744,1689.76245117188,98.8220138549805,58.3356666564941,25.9145984649658,98.8960723876953,1687.96252441406,58.4517402648926
"Malacomys_edwardsi",25.9693622589111,1966.84741210938,103.458480834961,65.9319152832031,25.9708080291748,1968.54528808594,103.435829162598,65.964469909668,25.9770908355713,103.581512451172,1966.76403808594,66.0500717163086
"Malacomys_longipes",24.0931987762451,1795.2109375,66.202278137207,50.1619758605957,24.0954418182373,1796.29602050781,66.1925506591797,50.173511505127,24.0929546356201,66.2715530395508,1795.85424804688,50.2239685058594
"Malacothrix_typica",18.9711685180664,299.676391601562,468.895050048828,82.2251739501953,18.9709053039551,299.658660888672,468.862182617188,82.2277679443359,18.9706058502197,468.559204101562,299.683746337891,82.1760635375977
"Mandrillus_leucophaeus",25.0956439971924,2504.81787109375,94.1358261108398,69.3647308349609,25.0980110168457,2504.58178710938,94.0751342773438,69.3562469482422,25.1635761260986,94.5595855712891,2492.68334960938,69.6494979858398
"Mandrillus_sphinx",24.3357887268066,1876.56188964844,104.51895904541,66.878662109375,24.3384914398193,1876.75317382812,104.534843444824,66.8876876831055,24.3563823699951,104.349822998047,1875.71435546875,66.9010925292969
"Massoutiera_mzabi",24.0162487030029,37.2902908325195,747.900451660156,60.3791084289551,24.0163974761963,37.2504920959473,747.8974609375,60.3884315490723,24.0219345092773,747.918762207031,37.2960777282715,60.4428672790527
"Mastomys_awashensis",21.197883605957,694.5390625,120.662796020508,79.9512405395508,21.193431854248,694.807434082031,120.526504516602,79.9330749511719,20.9863681793213,119.201377868652,714.095947265625,79.1931686401367
"Mastomys_coucha",18.8603534698486,480.969573974609,435.585571289062,82.864875793457,18.8602828979492,480.937377929688,435.565093994141,82.8610687255859,18.8633804321289,435.293487548828,480.954772949219,82.8503112792969
"Mastomys_erythroleucus",26.294527053833,1029.04577636719,193.095809936523,101.320083618164,26.294620513916,1029.71899414062,193.022644042969,101.316566467285,26.2949867248535,193.098434448242,1029.626953125,101.323081970215
"Mastomys_huberti",27.804536819458,664.607116699219,278.194213867188,135.269714355469,27.8017349243164,665.497192382812,277.914642333984,135.297729492188,27.8008079528809,277.892791748047,666.531616210938,135.26611328125
"Mastomys_kollmannspergeri",27.4126873016357,353.516662597656,338.384155273438,143.466598510742,27.4126605987549,353.509826660156,338.372772216797,143.472717285156,27.4117870330811,338.404663085938,353.744934082031,143.435684204102
