Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_ravelobensis	EN	decreasing	1	1	0.611278316	0.827292142	14	61	-0.770491803	-1.471816535	-0.261109486	-0.302605523	58.6	4.070734697	4
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_rufus	VU	decreasing	1	1	0.956481782	0.806513617	80	28	1.857142857	1.049822124	0.185946228	0.170540961	48.39	3.879293181	4
PRIMATES	CHEIROGALEIDAE	Microcebus	Microcebus_sambiranensis	EN	decreasing	1	1	0.603965601	0.841200876	12	74	-0.837837838	-1.819158443	-0.282019767	-0.331313241	49.06	3.893044039	4
RODENTIA	MURIDAE	Microdillus	Microdillus_peeli	LC	unknown	0	NA	0.912114978	0.798321311	74	34	1.176470588	0.777704569	0.142541187	0.133254893	10.18	2.320425011	2
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_brevicaudata	LC	decreasing	0	1	0.940689826	0.719376479	100	40	1.5	0.916290732	0.307646071	0.268228628	8.99	2.196112848	2
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_cowani	LC	decreasing	0	1	0.930721746	0.77331401	113	64	0.765625	0.568504735	0.203549572	0.185275168	12.27	2.507157259	3
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_dobsoni	LC	decreasing	0	1	0.975416938	0.791395488	99	34	1.911764706	1.068759326	0.232527798	0.209067181	36.66	3.601686242	4
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_drouhardi	LC	decreasing	0	1	0.961986	0.814055325	79	34	1.323529412	0.843087328	0.181720664	0.166971566	10.5	2.351375257	2
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_dryas	VU	decreasing	1	1	0.714550882	0.882361982	21	85	-0.752941176	-1.398128819	-0.190183964	-0.210948173	40	3.688879454	4
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_fotsifotsy	LC	decreasing	0	1	0.943553701	0.781089629	82	23	2.565217391	1.271225031	0.207996709	0.188963375	7.7	2.041220329	2
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_gracilis	LC	decreasing	0	1	0.954504916	0.817119353	63	23	1.739130435	1.00764051	0.168134022	0.155407623	23.3	3.148453361	3
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_gymnorhyncha	LC	decreasing	0	1	0.923680977	0.807640886	64	29	1.206896552	0.791587253	0.143677831	0.134249237	18.2	2.901421594	3
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_majori	LC	decreasing	0	1	0.82450474	0.726120871	133	114	0.166666667	0.15415068	0.135492412	0.1270664	17.28235294	2.84968592	3
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_nasoloi	VU	decreasing	1	1	0.426272511	0.662942925	108	839	-0.871275328	-2.050079479	-0.356999683	-0.441610061	17.28235294	2.84968592	3
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_parvula	LC	decreasing	0	1	0.965201319	0.828076521	81	30	1.7	0.993251773	0.165594357	0.153231134	3.53	1.261297871	1
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_principula	LC	decreasing	0	1	0.942077121	0.79833331	72	29	1.482758621	0.909370289	0.180054883	0.165560949	10.2	2.32238772	2
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_pusilla	LC	stable	0	0	0.895933464	0.836696095	55	43	0.279069767	0.24613307	0.070799147	0.068405236	3.4	1.223775432	1
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_soricoides	LC	decreasing	0	1	0.944448132	0.833018399	82	47	0.744680851	0.556571646	0.133766233	0.12554504	18.7	2.928523524	3
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_taiva	LC	decreasing	0	1	0.973066408	0.876136058	59	32	0.84375	0.611801541	0.110633901	0.104930935	12.4	2.517696473	3
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_talazaci	LC	decreasing	0	1	0.962436356	0.838293578	81	36	1.25	0.810930216	0.14808986	0.13809957	43.07	3.762826699	4
AFROSORICIDA	TENRECIDAE	Microgale	Microgale_thomasi	LC	decreasing	0	1	0.900478467	0.861838484	43	36	0.194444444	0.177681177	0.044834367	0.043858373	22.9	3.131136911	3
AFROSORICIDA	TENRECIDAE	Micropotamogale	Micropotamogale_lamottei	NT	decreasing	0	1	0.76947662	0.75174682	87	76	0.144736842	0.135174778	0.023584802	0.023310977	69.59	4.242620879	4
AFROSORICIDA	TENRECIDAE	Micropotamogale	Micropotamogale_ruwenzorii	LC	unknown	0	NA	0.746716475	0.818134035	51	37	0.378378378	0.32090772	-0.087293227	-0.091340619	109.13	4.692539832	5
CHIROPTERA	PTEROPODIDAE	Micropteropus	Micropteropus_intermedius	DD	unknown	NA	NA	0.868672151	0.508037977	143	9	14.88888889	2.765620053	0.709856724	0.53640958	25.38	3.233961462	3
CHIROPTERA	PTEROPODIDAE	Micropteropus	Micropteropus_pusillus	LC	stable	0	0	0.796934985	0.576203539	2842	2224	0.277877698	0.245200653	0.383078948	0.324312136	25.38	3.233961462	3
CHIROPTERA	VESPERTILIONIDAE	Mimetillus	Mimetillus_moloneyi	LC	unknown	0	NA	0.785846217	0.637880662	2151	1377	0.562091503	0.446025631	0.231964323	0.208609906	8.89	2.18492705	2
